"RecID","EQID","STATID","M","R","Y_1","Y_2","Y_3","Y_4","deltaB_1","deltaB_2","deltaB_3","deltaS_4","deltaS_1","deltaS_2","deltaS_3","deltaS_4","R_MAX"
1,1,71,6.19,17.60733436430979,-1.2309008731326003,-0.6397111639296003,-0.09587675069993862,-2.508142287619592,-0.7016776065248645,-0.6092829781402807,-0.5890625117929221,-0.10021126354796478,-0.5160674622609643,-0.4317766152371914,-0.3965366690555065,-0.25101371218603796,176.52586626339433
2,1,67,6.19,9.554197008231741,0.08374870269417417,0.5711392273997742,1.5895854537286378,-1.5317185915698692,-0.7016776065248645,-0.6092829781402807,-0.5890625117929221,-0.10021126354796478,0.022369586375727397,-0.028350869228329578,0.388672153676072,0.03039317403579936,176.52586626339433
3,1,69,6.19,12.86329390282064,-1.1128094440846195,-0.35435447601640324,0.3478643403272232,-2.5738973423250044,-0.7016776065248645,-0.6092829781402807,-0.5890625117929221,-0.10021126354796478,-0.01644985777399743,0.014808859487849994,0.3133049272547595,-0.2363846037621181,176.52586626339433
4,1,85,6.19,15.969922435782104,-0.9536177549295741,-0.2761517453837604,0.34626981898810455,-2.980041424244311,-0.7016776065248645,-0.6092829781402807,-0.5890625117929221,-0.10021126354796478,0.321999849691051,0.34164906269771783,0.27750798142748306,-0.49802113789353475,176.52586626339433
5,2,2,6.61,55.02289598428029,-0.5507617953519366,-0.004111151420550074,0.8133263307157987,-2.581005957087092,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.30232246295058135,0.27132066445993075,0.32240372104157966,-0.3085630657390478,245.64283433009157
6,2,31,6.61,61.73901397836603,-0.970516087063846,-0.3709864749089573,0.29125888115461696,-2.9548983486894023,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.3343099473504437,0.4296331757433234,0.21951774685403155,-0.1203426306547357,245.64283433009157
7,2,223,6.61,22.61397779991622,0.254031226018889,0.8098058577672008,0.651758585158144,-1.657667615146312,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.3835461161481312,0.22828827813770108,0.3583060550461592,0.4409176062752148,245.64283433009157
8,2,32,6.61,30.124832791250892,-0.5335399205363527,-0.20807111824946428,0.5803985995083669,-1.594710251808936,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.16038670995884108,-0.24766596027700055,-0.06900642684494135,0.358702553843879,245.64283433009157
9,2,172,6.61,139.2000051490184,-2.533984281750847,-1.4155388419030885,-1.302457697106729,-4.214021514560264,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.3791498747131633,0.41723006830584114,0.307476530027238,-0.19630430221378206,245.64283433009157
10,2,75,6.61,130.59182512656125,-3.0613311710493574,-2.374339560613556,-1.7945253534540533,-3.6532434269602767,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.18144038320500488,-0.1929618273764696,-0.28621740109225274,-0.2587381502726979,245.64283433009157
11,2,226,6.61,22.702102224941996,-0.1624070728105736,0.23961362201336622,0.18633749177459008,-1.6959485605904048,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.1395176791649877,0.049862956286108734,-0.0045113710344706634,0.09958821055230382,245.64283433009157
12,2,220,6.61,27.34687524174782,-0.5601895755576846,0.015074919612599713,0.18510198007476764,-2.0591858814135873,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.2722931129911475,0.17720567576218293,0.10985113324401359,-0.017717078437639023,245.64283433009157
13,2,36,6.61,19.267454944876395,-0.43633262738768375,-0.031445052611550506,0.45142749190891307,-1.0799876326544693,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,0.32100289703971785,0.45317774557598434,0.13385567290513142,0.7170311025456515,245.64283433009157
14,2,33,6.61,25.016696834619946,-0.5133428804129783,-0.2543347267995488,1.1419821551837888,-1.764796777506205,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.4778881095073268,-0.4323086511968266,-0.39367187019408156,-0.042944133042761075,245.64283433009157
15,2,35,6.61,22.527557167113073,-0.8062578886613763,-0.11073951229510245,0.21001562849362898,-3.035007869736201,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.31104536295035096,-0.18948905660245036,-0.2936616254963167,-0.36703561708821497,245.64283433009157
16,2,42,6.61,1.807671924543838,0.7423445340234633,1.2283323017638668,1.4974301887297572,-0.03402193856959654,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.2422819120881558,-0.13297314183840866,-0.5441321390347591,-0.01456905772479206,245.64283433009157
17,2,37,6.61,28.63652916415296,-0.9813216904637435,-0.6663336905245643,0.47819837688660005,-2.527774402145992,-0.4013280488615852,-0.4042981676847436,-0.4897759100758296,-0.3197857009723446,-0.48380703060081026,-0.5611403625369222,-0.17611838137320676,-0.2913757730075491,245.64283433009157
