"RecID","EQID","STATID","M","R","Y_1","Y_2","Y_3","Y_4","deltaB_1","deltaB_2","deltaB_3","deltaS_4","deltaS_1","deltaS_2","deltaS_3","deltaS_4","R_MAX"
1,1,71,6.19,17.60733436430979,-0.12747485408166165,0.31895003454928517,1.461145878043811,-1.3511662195376475,-0.026446168721350628,-0.16390052520667245,0.41605413668648145,-0.1071740331617839,-0.2522040885291743,-0.12802043984876724,-0.12062368370913581,-0.12561710826560052,224.23501595952266
2,1,67,6.19,9.554197008231741,1.1495404174450599,1.504472147207247,2.6940167560789514,-0.002699343869122961,-0.026446168721350628,-0.16390052520667245,0.41605413668648145,-0.1071740331617839,0.23533202941130302,0.2084899617301758,0.4126118423404508,0.6095963045964117,224.23501595952266
3,1,69,6.19,12.86329390282064,0.3118564292643924,0.7166391016689706,1.831106076290367,-1.4496237759219572,-0.026446168721350628,-0.16390052520667245,0.41605413668648145,-0.1071740331617839,0.13134298451367896,0.12297725669228524,-0.006261513834272418,-0.031106535639336554,224.23501595952266
4,1,85,6.19,15.969922435782104,0.10833434675101782,0.3140628241209322,1.7828852550515935,-1.3233481956552682,-0.026446168721350628,-0.16390052520667245,0.41605413668648145,-0.1071740331617839,0.27255421905312244,0.2110862477398473,0.4161983843492149,0.35744021351043875,224.23501595952266
5,2,2,6.61,55.02289598428029,-0.4099797141122039,0.18749511180126555,1.1311852675632426,-2.8819444980181315,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,0.20656184332565727,0.2591691066322432,0.5176914735178024,-0.17778950594776075,237.67639434189198
6,2,31,6.61,61.73901397836603,-1.9342508500036348,-1.2812898258294394,-0.3918768918213434,-2.656701230588734,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.640254427944028,-0.42585383311931696,-0.7298437752771272,-0.05117405423683662,237.67639434189198
7,2,223,6.61,22.61397779991622,-0.9087524678158687,0.04030891775011644,0.6664397052338767,-1.4982032200899615,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,0.024312663361468093,0.27243101213174414,-0.009355562847861178,-0.03837188341613661,237.67639434189198
8,2,32,6.61,30.124832791250892,-1.4151595807842994,-0.5645585346955512,0.12729914057856143,-1.0654612421143246,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.31957633569181837,-0.2518693408245881,-0.28626427016629663,0.8433317633986076,237.67639434189198
9,2,172,6.61,139.2000051490184,-3.5587170063206,-2.9004117002548977,-1.8546597688212545,-3.6320364171469457,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.5613243653004469,-0.5316495576802581,-0.6595417230461594,-0.16416568933475909,237.67639434189198
10,2,75,6.61,130.59182512656125,-3.590288380800605,-2.6858266093210457,-1.6932658915747587,-4.126828844450595,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.16663323912162575,-0.0829303374523457,-0.14523979040896237,-0.32095855726838,237.67639434189198
11,2,226,6.61,22.702102224941996,-0.7181740836459242,-0.3064781547175128,0.505318977633397,-1.589440696049335,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.5661632325926463,-0.579368026074876,-0.44559074326788545,-0.15905763100703532,237.67639434189198
12,2,220,6.61,27.34687524174782,-0.2890922259737281,0.41638164133815203,0.6903684653761214,-1.2509016862127793,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,0.6672318889400478,0.6130705037430774,0.617047745432289,0.05070691565721703,237.67639434189198
13,2,36,6.61,19.267454944876395,-0.8923685041540745,-0.48424332363917044,0.20566051210974545,-1.2872758101309685,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.11242473311460566,-0.1963602646957166,-0.532864322628071,-0.030466643374052534,237.67639434189198
14,2,33,6.61,25.016696834619946,-0.5620115033515465,0.0573992581541283,0.6587193418211268,-0.8102229259605531,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,0.20938835247818147,0.31879528259018813,0.19964895440738095,0.5812098656601529,237.67639434189198
15,2,35,6.61,22.527557167113073,0.27732216723457626,1.0206429155930388,1.4957614392909904,-1.7946578667970008,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,0.31916471538719426,0.43710983640493034,0.4457292793008544,0.1341859938230031,237.67639434189198
16,2,42,6.61,1.807671924543838,0.9051411555187511,0.9856457379461073,2.1184708022258425,0.3247574264059034,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.043847165997734354,-0.2898332386597216,-0.1496699178177561,-0.2687030699688793,237.67639434189198
17,2,37,6.61,28.63652916415296,-0.5901198824867087,-0.14853984374107196,0.2915249792383421,-1.8430044748915515,-0.5014048495076948,-0.5269122724121337,-0.35445247192190216,-0.11579242953037605,-0.07561933083592577,0.012025131949184859,-0.30793700712944383,-0.26168245520048844,237.67639434189198
